,SMILE,ID,MOL,Activity,MolLogP,MolWt,HBD,HBA,NumAromaticRings,NumRotatableBonds,TPSA,MolMR,BertzCT,BalabanJ,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HeavyAtomCount,HeavyAtomWt,RingCount
0,Cc1nnsc1C(=O)Nc2ccc(cc2)[N+]3=NC(C)=C(C3C)C(=O)OCC,SEW4170.0,<rdkit.Chem.rdchem.Mol object at 0x1439906d0>,0,3.4342200000000025,386.4570000000002,1,7,2,5,96.55,100.18460000000003,946.1616314295138,1.7306044995787855,1.2592592592592593,1.962962962962963,2.5555555555555554,0.3333333333333333,27,366.29700000000014,3
1,O=[*](O)c1cc(ccc1)NC(=O)c2snnc2C,CD5498.0,<rdkit.Chem.rdchem.Mol object at 0x143990740>,0,0.5976199999999998,251.26699999999997,2,5,2,3,92.18,61.580500000000015,613.9203023297854,2.1954909594259173,1.588235294117647,2.411764705882353,3.0588235294117645,0.1,17,242.195,2
2,Clc1cc(ccc1)NC(=O)c2snnc2C,CD5493.0,<rdkit.Chem.rdchem.Mol object at 0x1439907b0>,0,2.7522200000000003,253.71399999999997,1,4,2,2,54.88,64.05120000000001,526.2876231584517,2.17101105826533,1.5,2.3125,2.9375,0.1,16,245.64999999999998,2
3,Cc1nnsc1C(=O)NCc2nc(sc2)-c3sccc3,SCR1304.0,<rdkit.Chem.rdchem.Mol object at 0x143990820>,0,2.961520000000001,322.44,1,7,3,4,67.77000000000001,81.24320000000002,716.735580676701,1.6463338241549526,1.4,2.3,3.0,0.16666666666666666,20,312.36,3
4,n1ncsc1NC(=O)c2ccc(cc2)N(C3=O)C(=O)[C@@H]([C@H]34)[C@@H]5C[C@@H]4C=C5,4682-0061nan,<rdkit.Chem.rdchem.Mol object at 0x143990890>,0,2.1018999999999997,366.4020000000001,1,6,2,3,92.25999999999999,94.51420000000005,907.8556295193691,1.3727704184978773,1.0769230769230769,1.7307692307692308,2.3076923076923075,0.2777777777777778,26,352.29000000000013,5
5,Fc1ccc(cc1)C(=O)Nc2scnn2,MS-3192nan,<rdkit.Chem.rdchem.Mol object at 0x143990900>,0,1.9294999999999995,223.232,1,4,2,2,54.88,54.26220000000001,454.71951284694,2.1144727186526837,1.3333333333333333,2.066666666666667,2.6666666666666665,0.0,15,217.18399999999997,2
6,Brc(c1)ccc(c12)nc(-c3oc(C)cc3)cc2C(=O)Nc4scnn4,7922531nan,<rdkit.Chem.rdchem.Mol object at 0x143990970>,0,4.669520000000002,415.27200000000005,1,6,4,3,80.91000000000001,99.74420000000002,1075.648699531456,1.8690874101052797,1.24,2.12,2.84,0.058823529411764705,25,404.1840000000001,4
7,n1ncsc1NC(=O)Cc2cccc(c23)cccc3,6766980nan,<rdkit.Chem.rdchem.Mol object at 0x1439909e0>,0,2.8725000000000014,269.329,1,4,3,3,54.88,76.19070000000004,704.2976385449673,1.8310488845403454,1.1578947368421053,2.0,2.8421052631578947,0.07142857142857142,19,258.241,3
8,n1ncsc1NC(=O)CSc(nn2)[nH]c(c23)[n+](C)c4c3cccc4,4570-0044nan,<rdkit.Chem.rdchem.Mol object at 0x143990a50>,0,1.4695,358.4320000000001,2,7,2,4,100.33000000000001,90.94939999999998,982.2023639918353,1.547591931609256,1.3333333333333333,2.2083333333333335,3.0416666666666665,0.14285714285714285,24,346.3360000000002,4
9,n1ncsc1NC(=O)CSc2ccc(C)cc2,4114-0109nan,<rdkit.Chem.rdchem.Mol object at 0x143990ac0>,0,2.577320000000001,265.363,1,5,2,4,54.88,70.44170000000003,481.9274675160986,1.817092909132338,1.411764705882353,2.176470588235294,2.823529411764706,0.18181818181818182,17,254.27499999999998,2
10,n1ncsc1NC(=O)CSc2[nH+]nc([nH]2)C,8009-1396nan,<rdkit.Chem.rdchem.Mol object at 0x143990b30>,0,0.11451999999999984,257.324,2,6,2,4,97.70000000000002,59.143100000000004,466.9402473069683,1.7987054947259546,1.75,2.625,3.25,0.2857142857142857,16,248.252,2
11,Cc1ncsc1C(=O)O[C@@H](C#N)c2cc(ccc2)Oc3ccccc3,MS-2138nan,<rdkit.Chem.rdchem.Mol object at 0x143990ba0>,0,4.665500000000003,350.39900000000006,0,6,3,5,72.21,93.57850000000002,915.6735698849789,1.7721940465747281,1.16,1.92,2.6,0.10526315789473684,25,336.2870000000001,3
12,c1ccccc1CNS(=O)(=O)c2ccc(cc2)C(=O)Nc3sccn3,ASN5061742.0,<rdkit.Chem.rdchem.Mol object at 0x143990c10>,0,2.873900000000001,373.45900000000006,2,5,3,6,88.16,96.97670000000002,938.5727444204528,1.669545262743696,1.04,1.76,2.4,0.058823529411764705,25,358.33900000000006,3
13,CN(C)S(=O)(=O)c1ccc(cc1)C(=O)Nc2sccn2,0800-0496nan,<rdkit.Chem.rdchem.Mol object at 0x143990c80>,0,1.6457,311.38800000000003,1,5,2,4,79.37,77.38200000000003,692.0585949451491,2.183096124942992,1.25,1.9,2.4,0.16666666666666666,20,298.284,2
14,CCOc(c1Br)ccc(c1)C(=O)Nc2sccn2,2026-4214nan,<rdkit.Chem.rdchem.Mol object at 0x143990cf0>,0,3.556600000000002,327.20300000000003,1,4,2,4,51.22,75.37820000000002,543.0153682956609,2.133252733062575,1.5555555555555556,2.388888888888889,3.0,0.16666666666666666,18,316.115,2
15,Clc1cc(ccc1)Cn2cccc(c2=O)C(=O)Nc3sccn3,7E-322Snan,<rdkit.Chem.rdchem.Mol object at 0x143990d60>,0,3.258800000000001,345.811,1,5,3,4,63.99,91.32320000000001,890.34593557351,1.8605219471564842,1.3043478260869565,2.1739130434782608,2.9130434782608696,0.0625,23,333.71500000000003,3
16,n1ccsc1NC(=O)[C@H]2CN(C(=O)C2)c3c(OCC)cccc3,7915862nan,<rdkit.Chem.rdchem.Mol object at 0x143990dd0>,0,2.5334000000000003,331.39700000000005,1,5,2,5,71.53,88.81470000000003,702.3558402608472,1.7357826223380606,1.4782608695652173,2.3043478260869565,3.0434782608695654,0.3125,23,314.2610000000001,3
17,n1ccsc1NC(=O)[C@@H]2C[C@@H](c(c3[C@@H]24)cccc3)c5c4cccc5,8006-4066nan,<rdkit.Chem.rdchem.Mol object at 0x143990e40>,0,4.378900000000003,332.42800000000005,1,3,3,2,41.99,95.42070000000001,871.4029885220896,1.5944915396845223,1.0,1.625,2.2083333333333335,0.2,24,316.30000000000007,6
18,c1cc(OC)ccc1S(=O)(=O)N2[C@H](CCC2)C(=O)Nc3sccn3,6404-0228nan,<rdkit.Chem.rdchem.Mol object at 0x143990eb0>,0,1.9435,367.452,1,6,2,5,88.60000000000001,90.65150000000003,803.7545270531901,1.8120645324103388,1.375,2.125,2.75,0.3333333333333333,24,350.31600000000003,3
19,n1ccsc1NC(=O)C[C@H]2SC(=O)N(C2=O)CCC(=O)O,5915-0569nan,<rdkit.Chem.rdchem.Mol object at 0x143990f20>,0,1.0104000000000002,329.35900000000015,2,7,1,6,116.67,76.10150000000002,574.4236482577957,1.89247232555882,1.4285714285714286,2.1904761904761907,2.8095238095238093,0.36363636363636365,21,318.2710000000001,2
20,n1ccsc1NC(=O)C[C@H]2SC(=O)N(C2=O)CC(=O)OCC,6193-1052nan,<rdkit.Chem.rdchem.Mol object at 0x143990f90>,0,1.0988000000000002,343.3860000000002,1,8,1,6,105.67,80.48170000000002,589.592016699131,1.9016332872740231,1.4545454545454546,2.227272727272727,2.8636363636363638,0.4166666666666667,22,330.2820000000001,2
21,n1ccsc1NC(=O)C[C@@H](c2c(OC)cccc2)c(c3)ccc(c34)OCO4,6976113nan,<rdkit.Chem.rdchem.Mol object at 0x143991000>,0,4.041100000000003,382.44100000000014,1,6,3,6,69.68,102.76270000000002,942.9145867891496,1.6732764014463757,1.2592592592592593,2.111111111111111,2.925925925925926,0.2,27,364.29700000000014,4
